measure_name,ux_tier,why_safe_for_built_ux,user_facing_role,notes
Base Units,End-User Safe,Best single demand signal for underlying substitution because it reduces promo distortion.,Core cannibalization demand outcome.,Prefer over Units as the primary modeled demand signal when available.
Units,End-User Safe,Observed real-world sales are intuitive and easy for business users to understand.,Observed market outcome and business reality check.,Best shown alongside Base Units and store-productivity measures rather than by itself.
TDP,End-User Safe,Strong distribution context measure for separating reach changes from demand changes.,Primary distribution context control.,Use to explain whether a gain or loss may be driven by distribution footprint.
ARP,End-User Safe,Average price is intuitive and broadly understood by business stakeholders.,Primary observed price signal.,Useful when interpreting switching driven by price differences.
Base ARP,End-User Safe,Regular price context is useful when evaluating demand absent promo distortion.,Primary baseline price signal.,"Only user-facing if sourced directly as a trusted SPINS measure, not a weak proxy."
"ARP % Discount, Any Promo",End-User Safe,Promo depth is intuitive and helps explain promotion-driven shifts.,Primary promo intensity control.,Use only if the clean Any Promo version is available.
# Stores Selling,End-User Safe,Store count is intuitive and easy to explain in assortment and distribution conversations.,Store reach context.,Especially useful for explaining why sales movement may not be pure cannibalization. Use with Units per store measures to separate reach from demand.
% of Stores Selling,End-User Safe,Simple distribution percentage is intuitive for end users.,Distribution penetration context.,Useful as a cleaner end-user counterpart to more technical reach metrics. Use with Units per store measures to separate penetration from true store-level demand change.
Average Weekly Units Per Store Selling Per Item,End-User Safe,Closest available SPINS measure to an intuitive units-per-store-selling-item view.,Store productivity signal.,Prefer this over Units/TDP or Units SPP for user-facing productivity views. Critical for separating true sales change from distribution change over time.
Average Weekly Dollars Per Store Selling Per Item,End-User Safe,Closest available SPINS measure to an intuitive dollars-per-store-selling-item view.,Revenue productivity signal.,Prefer this over Dollars/TDP or Dollars SPP for user-facing productivity views.
First Week Selling,End-User Safe,Launch timing is straightforward and critical for interpreting demand shifts.,Launch timing context.,"Helpful for explaining ramp, novelty effects, and post-launch substitution."
"Unit Shr, Sub-Cat",End-User Safe,Subcategory share is a strong competitive-position measure close to the substitution set.,Market position and share context.,Prefer subcategory share over broader category share for tighter cannibalization interpretation.
"Units, Promo Effect Index",Analyst Support,Useful but more technical and easier to misread without guidance.,Analyst-level promo sensitivity context.,Best kept behind the scenes unless the audience is analytically mature.
Incr Units,Analyst Support,"Important analytically, but easy for end users to confuse with simple growth or weekly change.",Promo attribution control.,Keep as a modeling/support metric rather than a headline user-facing metric.
Incr Dollars,Analyst Support,Useful for promo attribution but less intuitive than observed or base demand metrics.,Revenue promo attribution control.,Better for internal diagnostics than user-facing output.
"Units, Promo",Analyst Support,Helpful context but usually too operational for a polished demand story.,Promo-period context.,Better as a drill-down or analyst-only field.
"Units, Non-Promo",Analyst Support,Useful in diagnostics but less elegant than Base Units for user-facing demand interpretation.,Non-promo support signal.,Keep behind the scenes unless the workflow specifically centers on promo decomposition.
"Dollars, Promo",Analyst Support,Operationally useful but not essential for a narrow polished experience.,Promo revenue context.,Better for analyst drill-down.
"Dollars, Non-Promo",Analyst Support,Helpful for diagnostics but not usually needed in the final UX.,Non-promo revenue context.,Better for analysis support than front-end storytelling.
"TDP, Any Promo",Analyst Support,Useful for decomposing promoted reach but more technical than standard TDP.,Promoted distribution support signal.,Keep for diagnostics and root-cause analysis.
"TDP, Non-Promo",Analyst Support,Useful but more technical than standard TDP for most business users.,Baseline distribution support signal.,Keep for diagnostics and root-cause analysis.
Units SPM,Analyst Support,Useful normalized productivity signal but not intuitive enough for headline UX.,Distribution-normalized productivity support.,Prefer per-store-style measures for user-facing views.
Dollars SPM,Analyst Support,Useful normalized productivity signal but not intuitive enough for headline UX.,Distribution-normalized revenue productivity support.,Prefer per-store-style measures for user-facing views.
Units SPP,Avoid in Final UX,Too easy to confuse with units-per-store even though it is ACV-point normalized.,Fallback analyst proxy only if better store-based metrics are unavailable.,Do not surface as a polished end-user productivity metric.
Dollars SPP,Avoid in Final UX,Too easy to confuse with dollars-per-store even though it is ACV-point normalized.,Fallback analyst proxy only if better store-based metrics are unavailable.,Do not surface as a polished end-user productivity metric.
Units/TDP,Avoid in Final UX,Too easy to mistake for units per store when it is actually normalized by distribution points.,Fallback analyst proxy only if better store-based metrics are unavailable.,Do not use as a user-facing substitute for units per store.
Dollars/TDP,Avoid in Final UX,Too easy to mistake for dollars per store when it is actually normalized by distribution points.,Fallback analyst proxy only if better store-based metrics are unavailable.,Do not use as a user-facing substitute for dollars per store.
"ARP, Promo",Analyst Support,Useful for diagnosis but secondary to simpler price and discount views.,Promo-price support signal.,Keep as drill-down context.
"ARP, Non-Promo",Analyst Support,Useful for diagnosis but secondary to simpler price and discount views.,Non-promo price support signal.,Keep as drill-down context.
"Dollars, Promo Effect Index",Analyst Support,Informative but technical and less intuitive than core demand and price measures.,Revenue promo sensitivity support.,Better used in analyst diagnostics.
"Unit Shr, Category",Analyst Support,Broader than the most relevant substitution set and less precise than subcategory share.,Broad market context.,"Prefer Unit Shr, Sub-Cat for the final UX."
"Dol Shr, Category",Analyst Support,Broader context measure that is less directly tied to the closest substitution set.,Broad revenue share context.,"Useful in diagnostics, not essential in final UX."
"Dol Shr, Sub-Cat",Analyst Support,Useful share context but unit share is often easier to interpret in demand cannibalization discussions.,Revenue share context.,Keep as analyst support unless revenue share is central to the story.
Dollars,End-User Safe,Observed dollar sales are intuitive and important for business decisions.,Observed revenue outcome.,Useful when the experience needs both demand and revenue framing.
Base Dollars,Analyst Support,Useful but usually secondary to Base Units in a demand-focused experience.,Underlying revenue support signal.,Bring forward only if margin or revenue accretion is a major user need.
Number of Weeks Selling,Analyst Support,Helpful maturity context but less intuitive than First Week Selling.,Lifecycle maturity support signal.,Best used behind the scenes or in metadata panels.
